q;1551035429011;-0.030620193,-0.050087754,0.013332473,0.9981863
v;1551035429011;-0.059829418,-0.10116346,0.029741568
m;1551035429016;md=0
bq;1551035429018;-0.030620193,-0.050087754,0.013332473,0.9981863
r;1551035429020;90.0,90.0,90.0
m;1551035429022;st
q;1551035429194;-0.029186279,-0.048965864,0.016089985,0.9982443
v;1551035429194;-0.056724768,-0.09901973,0.035045262
r;1551035429199;89.817924,89.88271,90.310844
q;1551035429240;-0.028914353,-0.04793393,0.014922733,0.9983204
v;1551035429240;-0.05633075,-0.09687468,0.032624822
r;1551035429246;89.79162,89.76073,90.17902
q;1551035429280;-0.029435474,-0.04705824,0.015057754,0.99834484
v;1551035429280;-0.057387814,-0.09514704,0.032896098
r;1551035429289;89.84881,89.660164,90.200485
q;1551035429330;-0.027220681,-0.047460895,0.015104893,0.9983879
v;1551035429330;-0.05294455,-0.09587203,0.032796748
r;1551035429337;89.59577,89.709114,90.19111
q;1551035429366;-0.028373744,-0.047578126,0.014659506,0.9983569
v;1551035429366;-0.05528747,-0.09612641,0.032025173
r;1551035429372;89.73064,89.7197,90.14678
q;1551035429399;-0.028922869,-0.04676643,0.014635213,0.99837977
v;1551035429399;-0.056413054,-0.094518706,0.031984564
r;1551035429403;89.79213,89.62588,90.14995
q;1551035429430;-0.02893149,-0.04726818,0.014053264,0.99836427
v;1551035429430;-0.056469794,-0.09549192,0.030849688
r;1551035429459;89.79754,89.68143,90.08181
q;1551035429486;-0.03662306,-0.0448674,0.011785278,0.99825186
v;1551035429486;-0.072123036,-0.09080162,0.026888853
r;1551035429491;90.687965,89.38716,89.87937
q;1551035429519;-0.031699907,-0.04730467,0.013524507,0.9982858
v;1551035429519;-0.0620514,-0.09563409,0.030064132
r;1551035429523;90.11769,89.68015,90.0381
q;1551035429550;-0.031279672,-0.050139412,0.013844438,0.99815625
v;1551035429550;-0.0610937,-0.10132202,0.030836921
r;1551035429555;90.072685,90.00691,90.0622
q;1551035429582;-0.0333818,-0.05072654,0.013513565,0.9980631
v;1551035429582;-0.0653097,-0.10255673,0.030431027
r;1551035429587;90.31628,90.07028,90.03432
q;1551035429615;-0.03102378,-0.051374875,0.014541865,0.9980915
v;1551035429615;-0.06047182,-0.103831865,0.032280512
r;1551035429619;90.0417,90.15144,90.13622
q;1551035429646;-0.03097574,-0.050360225,0.014342117,0.9981476
v;1551035429646;-0.060428947,-0.1017835,0.031814415
r;1551035429651;90.03546,90.034424,90.11662
q;1551035429678;-0.029725214,-0.04983443,0.014315952,0.9982124
v;1551035429678;-0.057949733,-0.1006805,0.031601697
r;1551035429691;89.89148,89.97559,90.108185
q;1551035429717;-0.02978315,-0.049529508,0.014468496,0.99822366
v;1551035429717;-0.058059867,-0.100080214,0.03189502
r;1551035429721;89.89668,89.94108,90.12698
q;1551035429747;-0.029303057,-0.0489565,0.0152558535,0.9982544
